"Variable","Loading_PC1","Loading_PC2","Contribution_PC1","Contribution_PC2","Cos2_PC1","Cos2_PC2","Cos2_Total"
"vabsabcabc_standard",0.925,-0.099,14.83,0.52,0.855,0.01,0.865
"vabsdscoress_dss",0.871,-0.217,13.15,2.46,0.759,0.047,0.806
"vabsdscoresc_dss",0.861,0.035,12.85,0.06,0.741,0.001,0.742
"vabsdscoresd_dss",0.851,-0.045,12.56,0.11,0.725,0.002,0.727
"SRS_tscore",-0.721,0.462,9,11.19,0.519,0.213,0.732
"total_IQ",0.717,0.641,8.92,21.61,0.514,0.411,0.926
"verbal_IQ",0.704,0.549,8.6,15.85,0.496,0.302,0.798
"performance_IQ",0.625,0.639,6.76,21.48,0.39,0.409,0.799
"ssp_total",0.625,-0.517,6.78,14.06,0.391,0.268,0.659
"RBS-R_total",-0.614,0.491,6.54,12.65,0.377,0.241,0.618
